rank	entry_id	cluster	score	channels	content
1	110	9	0.016393	vec	type=decision Posts follow a consistent structure: TL;DR, setup, experiment, res 
2	9962	-1	0.016393	fts	1. Epidemiology focuses on the study of disease patterns and distribution. 
3	1148	-1	0.016129	vec	5.  Bloodstain pattern analysis focuses on the spatial relationship of droplets. 
4	9843	-1	0.016129	fts	136.  Metabolic pathways control drug concentration patterns. 
5	8630	-1	0.015873	vec	Decay pattern: A sequence of radioactive events revealing the decay path. 
6	9815	-1	0.015873	fts	108.  Enzyme activity determines drug formation and excretion patterns. 
7	1848	-1	0.015625	vec	Understanding these patterns is critical for climate modeling and prediction. 
8	9648	-1	0.015625	fts	Osteoarthritis treatment involves physical therapy and pain management. 
9	1529	-1	0.015385	vec	1.  Many patterns originated in the British Isles, with a focus on practicality  
10	9522	-1	0.015385	fts	67.  Side effects require careful management throughout treatment. 
