rank	entry_id	cluster	score	channels	content
1	111	10	0.016393	vec	type=decision spill logs to a single SQLite database shared across all tools. Ea 
2	9972	-1	0.016393	fts	11. Viral load models estimate infection rates and severity. 
3	21	1	0.016129	vec	type=decision Switched spill from per-tool log files to a single SQLite database 
4	9864	-1	0.016129	fts	157.  Metabolic pathways control drug levels and consequences. 
5	28	1	0.015873	vec	type=decision spill structured its log entries as JSON lines rather than plain t 
6	9826	-1	0.015873	fts	119.  Metabolic changes dramatically impact drug levels. 
7	112	10	0.015625	vec	type=note Spill provides three severity levels: info, warn, error. There is no d 
8	9802	-1	0.015625	fts	95.  Metabolic pathways adjust drug levels, impacting treatment strategies. 
9	82	7	0.015385	vec	type=decision Commit messages use a tool-name prefix followed by a colon: crib:  
10	9789	-1	0.015385	fts	82.  Oxidative metabolism is a vital pathway to adjust drug levels. 
