rank	entry_id	cluster	score	channels	content
1	7845	-1	0.016393	vec	The formation of mountains contributes to plate motion. 
2	9749	-1	0.016393	fts	42.  Metabolic enzymes also generate waste products, influencing toxicity. 
3	6469	-1	0.016129	vec	62. Distributed generation provides localized power sources. 
4	9705	-1	0.016129	fts	Spinal fusion surgery stabilizes the spine’s cervical region. 
5	2650	-1	0.015873	vec	Significant investment in drainage systems, particularly in mountainous regions, 
6	9710	-1	0.015873	fts	3.  Phase I reactions often involve oxidation, reduction, or hydrolysis, generat 
7	1841	-1	0.015625	vec	Coastal barriers like mountains can influence current flow patterns. 
8	9684	-1	0.015625	fts	Spinal fusion surgery stabilizes the spine's cervical region. 
9	2541	-1	0.015385	vec	Erosion by rivers and streams has shaped the mountain slopes and valleys. 
10	9692	-1	0.015385	fts	Spinal fusion surgery stabilizes the spine’s cervical region. 
