rank	entry_id	cluster	score	channels	content
1	9170	-1	0.028665	fts+vec	Dermatology - Risk assessment:  Comprehensive analysis. 
2	8363	-1	0.027072	fts+vec	Eruptive style depends on magma composition, temperature, and gas content. 
3	2834	-1	0.016393	vec	*   The “ditty” style utilizes short, repeated phrases and melodic motifs, often 
4	9545	-1	0.016393	fts	90.  Biopsies provide valuable information for immune cell analysis. 
5	2874	-1	0.016129	vec	Regional styles exhibit distinct melodic characteristics, often incorporating bl 
6	9481	-1	0.016129	fts	26.  Randomized trials are used to compare different treatments. 
7	9348	-1	0.015873	fts	Dermatology -  Data Analysis and Interpretation:  Utilizing. 
8	2586	-1	0.015873	vec	Blending is a cornerstone of Burgundy’s style, carefully integrating different g 
9	1554	-1	0.015625	vec	5.  Different wood species are suited to specific joinery styles, offering varyi 
10	9281	-1	0.015625	fts	Dermatology -  Advanced Analysis:  Uncovering. 
