rank	entry_id	cluster	score	channels	content
1	9153	-1	0.030366	fts+vec	Dermatology - Technological Integration: Using tools. 
2	9565	-1	0.016393	fts	110.  Targeting tumor-associated antigens is a key diagnostic tool. 
3	66	5	0.016393	vec	type=note The most common failure mode across all tools is ollama timing out. Em 
4	9194	-1	0.016129	fts	Dermatology -  Assessment Tools: Precise testing. 
5	63	5	0.016129	vec	type=note When debugging cross-tool failures, check spill log first. All tools l 
6	78	6	0.015873	vec	type=decision Error handling follows fail-open semantics: if a non-critical oper 
7	115	10	0.015625	vec	type=error Spill SQLite writes blocked under high concurrency when multiple tool 
8	9080	-1	0.015625	fts	Skin Modification Techniques: Utilizing tools like laser. 
9	8788	-1	0.015385	fts	145.  Heart failure management is ongoing. 
10	35	2	0.015385	vec	type=error Embedding calls occasionally return HTTP 500 when ollama model is sti 
