rank	entry_id	cluster	score	channels	content
1	5545	-1	0.016393	vec	155.  Data visualization enhances understanding. 
2	9963	-1	0.016393	fts	2. Infectious disease modeling utilizes mathematical models to predict outbreaks 
3	136	-1	0.016129	vec	Quantum computing utilizes quantum phenomena like superposition and entanglement 
4	9774	-1	0.016129	fts	67.  The liver’s tolerance to certain drugs is impacted by its metabolism. 
5	33	2	0.015873	vec	type=decision Chose nomic-embed-text over mxbai-embed-large because it runs unde 
6	9755	-1	0.015873	fts	48.  Certain drugs are metabolized by enzymes not typically involved in Phase I. 
7	7748	-1	0.015625	vec	Quantum computing leverages superposition and entanglement for exponentially inc 
8	9723	-1	0.015625	fts	16.  Certain foods can inhibit or speed up drug breakdown. 
9	36	2	0.015385	vec	type=note nomic-embed-text is trained for search rather than classification. Its 
10	9720	-1	0.015385	fts	13.  Acetylation by N-acetyltransferases regulates certain drug pathways. 
