rank	entry_id	cluster	score	channels	content
1	1366	-1	0.016393	vec	1.  Raku firing utilizes a unique “throw-off” process, where the ceramic is plac 
2	10000	-1	0.016393	fts	39.  Modeling helps estimate the cost of disease control. 
3	2419	-1	0.016129	vec	18.  The ‘Three-Tone’ glaze technique involved using multiple colors for a compl 
4	9968	-1	0.016129	fts	7. Case-control studies examine past exposures to inform models. 
5	1369	-1	0.015873	vec	4.  The color change is influenced by the ceramic's composition and the glaze ap 
6	9943	-1	0.015873	fts	245.  The CYP450 system controls vital drug reactions. 
7	2405	-1	0.015625	vec	4.  The ‘Crystallized’ technique, involving multiple layers of glaze, was highly 
8	9948	-1	0.015625	fts	250.  The liver controls critical drug handling. 
9	1217	-1	0.015385	vec	Applying a glaze first establishes a base color and depth, guiding subsequent la 
10	9950	-1	0.015385	fts	252.  Enzyme activity controls drug stability and interactions. 
