Q01	single	1	20	20	0	0	1	0
Q02	single	2	20	20	0	0	5	0
Q03	single	3	20	20	0	0	3	2
Q04	single	4	20	20	0	0	1	0
Q05	single	5	20	20	0	0	2	1
Q06	single	6	20	20	0	0	0	0
Q07	single	7	20	20	0	0	2	0
Q08	single	8	20	20	0	0	3	1
Q09	single	9	20	20	0	0	3	1
Q10	single	10	20	20	0	0	2	0
Q11	paraphrase	1	20	20	0	0	0	0
Q12	paraphrase	3	20	20	0	0	0	0
Q13	paraphrase	5	20	20	0	0	0	0
Q14	paraphrase	2	20	20	0	0	2	0
Q15	paraphrase	4	20	20	1	0	1	1
Q16	negative	none	20	20	0	0	0	0
Q17	negative	none	20	20	0	0	0	0
Q18	negative	none	20	20	0	0	0	0
Q19	negative	none	20	20	1	0	0	1
Q20	negative	none	20	20	2	0	0	2
