rank	entry_id	cluster	score	channels	content
1	2156	-1	0.016393	vec	Interest rates are adjusted through the open market, influencing borrowing costs 
2	9998	-1	0.016393	fts	37.  Modeling studies the impact of emerging pathogens. 
3	3916	-1	0.016129	vec	Decay rates are affected by temperature and external factors. 
4	9982	-1	0.016129	fts	21. Modeling helps predict the long-term impact of an infectious agent. 
5	2284	-1	0.015873	vec	The Industrial Revolution’s influence on spinning significantly altered the glob 
6	9984	-1	0.015873	fts	23. Modeling can assess the impact of environmental factors. 
7	2077	-1	0.015625	vec	5.  Tax treaties between countries can significantly reduce or shift tax burdens 
8	9970	-1	0.015625	fts	9. Epidemiological indicators like case rates are vital. 
9	2120	-1	0.015385	vec	Historical cap rates provide a benchmark for comparing current valuations. 
10	9972	-1	0.015385	fts	11. Viral load models estimate infection rates and severity. 
