rank	entry_id	cluster	score	channels	content
1	51	4	0.016393	vec	type=decision crib uses consolidation-on-write rather than periodic garbage coll 
2	9577	-1	0.016393	fts	122.  Immunotherapy strategies are designed to enhance efficacy. 
3	82	7	0.016129	vec	type=decision Commit messages use a tool-name prefix followed by a colon: crib:  
4	9471	-1	0.016129	fts	16.  Targeted therapies are designed to inhibit specific pathways. 
5	87	7	0.015873	vec	type=note Rebasing is preferred over merge commits for keeping history linear. I 
6	9335	-1	0.015873	fts	Dermatology -  Wellness Program Design: Creating. 
7	7152	-1	0.015625	vec	42.  ‘Mirror folding’ creates identical modules, improving precision. 
8	9297	-1	0.015625	fts	Dermatology -  Collaboration Systems: Designing. 
9	2235	-1	0.015385	vec	5.  Load consolidation minimizes empty miles, enhancing efficiency and profitabi 
10	8928	-1	0.015385	fts	285.  The procedure is well-designed. 
