rank	entry_id	cluster	score	channels	content
1	8763	-1	0.02938	fts+vec	120.  Stress management techniques help reduce anxiety. 
2	9751	-1	0.016393	fts	44.  The liver's capacity to metabolize drugs determines therapeutic efficacy. 
3	9603	-1	0.016129	fts	148.  Clinical trials are expanding therapeutic options. 
4	4942	-1	0.016129	vec	3.  Mood stabilizers help regulate mood swings and anxiety. 
5	9596	-1	0.015873	fts	141.  Immunotherapy provides a vital therapeutic target. 
6	4946	-1	0.015873	vec	7.  Benzodiazepines are used for rapid anxiety reduction. 
7	9600	-1	0.015625	fts	145.  Clinical trials provide validation of new therapeutic approaches. 
8	645	-1	0.015625	vec	4.  Antipsychotics are used to manage psychosis and certain anxiety conditions. 
9	9584	-1	0.015385	fts	129.  Targeting tumor-associated antigens improves therapeutic prospects. 
10	4386	-1	0.015385	vec	57.  Psychological support helps manage anxiety and coping during recovery. 
