rank	entry_id	cluster	score	channels	content
1	33	2	0.016393	vec	type=decision Chose nomic-embed-text over mxbai-embed-large because it runs unde 
2	9421	-1	0.016393	fts	Dermatology -  Healthcare System Performance and Evaluation: Guiding. 
3	31	2	0.016129	vec	type=note nomic-embed-text produces 768-dimensional float vectors. At default ol 
4	9200	-1	0.016129	fts	Dermatology -  Evaluation: Measuring performance. 
5	34	2	0.015873	vec	type=note The embedding API returns a JSON response with an embeddings key conta 
6	8790	-1	0.015873	fts	147.  Regular cardiovascular checks are performed. 
7	36	2	0.015625	vec	type=note nomic-embed-text is trained for search rather than classification. Its 
8	8780	-1	0.015625	fts	137.  The procedure is often performed on a complex case. 
9	37	2	0.015385	vec	type=note The embedding for a 200-word paragraph and the embedding for a 5-word  
10	8653	-1	0.015385	fts	10. Bypass surgery is often performed in a cardiac ICU. 
