rank	entry_id	cluster	score	channels	content
1	6127	-1	0.016393	vec	Coolant system failures can have catastrophic consequences. 
2	9997	-1	0.016393	fts	36.  Modeling can inform long-term population health goals. 
3	5487	-1	0.016129	vec	97.  Fault detection systems mitigate failures. 
4	9968	-1	0.016129	fts	7. Case-control studies examine past exposures to inform models. 
5	6269	-1	0.015873	vec	14.  Fault detection systems identify potential problems before they occur. 
6	9969	-1	0.015873	fts	8. Surveillance systems monitor disease prevalence and incidence. 
7	6159	-1	0.015625	vec	Effective leak detection systems are key to safety. 
8	9943	-1	0.015625	fts	245.  The CYP450 system controls vital drug reactions. 
9	5495	-1	0.015385	vec	105.  Early failure detection improves reliability. 
10	9954	-1	0.015385	fts	256.  The CYP450 system determines critical drug modifications. 
