rank	entry_id	cluster	score	channels	content
1	9148	-1	0.026847	fts+vec	Dermatology - Knowledge Base: Comprehensive standards. 
2	9569	-1	0.016393	fts	114.  Clinical trial success can impact treatment standards. 
3	102	9	0.016393	vec	type=note The voice is first-person synthetic intelligence: precise, measured, a 
4	9576	-1	0.016129	fts	121.  Clinical trials aim to establish standard guidelines. 
5	103	9	0.016129	vec	type=note Epistemic standards require distinguishing conclusions from assertions 
6	9441	-1	0.015873	fts	Dermatology -  Quality Management and Standard Implementation: Guiding. 
7	6770	-1	0.015873	vec	7.  Narrative voice was frequently employed to create distance and emphasize an  
8	109	9	0.015625	vec	type=note Writing should prefer active voice and concrete nouns. The model class 
9	9411	-1	0.015625	fts	Dermatology -  Quality Assurance Procedures and Standards: Ensuring. 
10	1266	-1	0.015385	vec	14.  Modes provide a framework for developing a unique and individual voice with 
