rank	entry_id	cluster	score	channels	content
1	2247	-1	0.016393	vec	17.  Route planning software integrates data from various sources for a comprehe 
2	8952	-1	0.016393	fts	Systemic Lupus Erythematosus (SLE): An autoimmune disease affecting multiple org 
3	5778	-1	0.016129	vec	21.  CAD software plays a central role in prosthetic design and visualization. 
4	8642	-1	0.016129	fts	Electromagnetic waves travel as disturbances in electric and magnetic fields. Th 
5	2175	-1	0.015873	vec	Structure defines how work is organized, impacting efficiency and responsiveness 
6	8641	-1	0.015873	fts	Fluid dynamics fundamentally deals with the motion of fluids, influencing everyt 
7	6287	-1	0.015625	vec	32.  Robotic systems often integrate with ERP and MES for data management. 
8	8537	-1	0.015625	fts	135.  The bird’s movement is a critical component of population dynamics. 
9	2198	-1	0.015385	vec	10. POS systems often integrate with accounting software for seamless data trans 
10	8423	-1	0.015385	fts	21.  African wild dogs engage in cooperative migration strategies. 
