rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	203	3	0.000000	0.029287	fts+vec	To ensure consistent results across all classification tasks, establish a temper 
2	200	3	0.000000	0.029052	fts+vec	The temperature setting of 0.0 does not reliably produce the same results from G 
3	199	3	0.000000	0.028373	fts+vec	The temperature setting of 0.0 does not consistently produce the same results fr 
4	432	0	0.000000	0.016393	fts	The sourdough starter needs consistent nourishment: it should be mixed with a ra 
5	431	0	0.000000	0.016129	fts	The sourdough starter needs to be replenished periodically: it should be mixed w 
6	430	0	0.000000	0.015873	fts	The sourdough starter necessitates periodic replenishment: approximately equal p 
7	423	0	0.000000	0.015625	fts	To achieve the optimal texture of caramelized onions, a gentle and prolonged coo 
8	422	0	0.000000	0.015385	fts	To achieve optimal caramelization of onions, it’s recommended to employ a gradua 
9	421	0	0.000000	0.015152	fts	To achieve a truly exceptional caramelization of onions, it’s recommended to uti 
10	365	9	0.000000	0.014925	fts	The voice is constructed through artificial intelligence, exhibiting a deliberat 
