rank	entry_id	cluster	rrf_score	channels	content
1	159	2	0.016393	vec	We selected nomic-embed-text instead of mxbai-embed-large primarily due to its e 
2	477	0	0.016393	fts	The dimensions of a basketball court are 94 feet in length and 50 feet in width. 
3	158	2	0.016129	vec	We opted for nomic-embed-text instead of mxbai-embed-large due to its remarkably 
4	476	0	0.016129	fts	The dimensions of a basketball court are precisely 94 feet in length and 50 feet 
5	157	2	0.015873	vec	We opted for nomic-embed-text instead of mxbai-embed-large due to its relatively 
6	475	0	0.015873	fts	The dimensions of a basketball court are 94 feet in length and 50 feet in width. 
7	11	2	0.015625	vec	nomic-embed-text produces 768-dimensional float vectors. At default ollama setti 
8	409	10	0.015625	fts	The process of updating database data is performed manually. Should the database 
9	13	2	0.015385	vec	Chose nomic-embed-text over mxbai-embed-large because it runs under 100ms per em 
10	404	10	0.015385	fts	SQLite's performance can degrade significantly when numerous applications are si 
