rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	330	7	1.000000	0.030282	fts+vec	The structure of the repository involves organizing files into distinct director 
2	328	7	1.000000	0.029643	fts+vec	The structure of the repository is organized as follows: executables are stored  
3	329	7	0.999999	0.027984	fts+vec	The design of the repository involves classifying files into distinct locations: 
4	340	8	0.999995	0.014286	fts	The scripts used for experimentation are housed within the experiment directory, 
5	342	8	0.999984	0.014706	fts	The scripts used for experimentation are located within the ‘experiment’ folder, 
6	341	8	0.999451	0.014493	fts	The scripts used in the experiment process are located within the experiment dir 
7	125	1	0.998574	0.015152	vec	The prophet system doesn't rely on its components’ dependencies. Each individual 
8	122	1	0.971031	0.015385	vec	The process of managing log data shifted from separate per-tool files to a singl 
9	397	10	0.002362	0.016129	fts	The records generated within the system are organized by the tool name as a desi 
10	126	1	0.000280	0.015625	vec	The prophet system doesn't rely on the external resources of any other software. 
11	353	8	0.000093	0.015152	fts	The tests are constructed to encompass four distinct types of scenarios: precise 
12	400	10	0.000007	0.016393	fts	When the SPILL feature is disabled, the falling-back mechanism returns to stderr 
13	123	1	0.000004	0.014706	vec	The process of transferring data from per-tool log files to a single SQLite data 
14	301	7	0.000003	0.028083	fts+vec	The core repositories for each tool contain a single, foundational branch, elimi 
15	388	9	0.000000	0.028373	fts+vec	The content presented follows a specific, sequential format: a brief summary, fo 
16	124	1	0.000000	0.015873	vec	The prophet entity does not rely on its system's connections. Each individual co 
17	355	8	0.000000	0.015625	fts	The data generated during the experiment is presented as text files within the d 
18	354	8	0.000000	0.015385	fts	The queries designed for testing are organized into four distinct groupings: pre 
19	351	8	0.000000	0.014925	fts	The three-channel study focuses primarily on the quality of information retrieva 
20	140	1	0.000000	0.014493	vec	The process of identifying and organizing information from three distinct data s 
