rank	entry_id	cluster	rrf_score	channels	content
1	403	10	0.028205	fts+vec	SQLite's performance can be impacted when numerous tools are actively accessing  
2	401	10	0.027912	fts+vec	When the SPILL feature is disabled, the output streams back to the standard erro 
3	46	5	0.016393	vec	The most common failure mode across all tools is ollama timing out. Embedding ca 
4	471	0	0.016393	fts	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
5	470	0	0.016129	fts	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
6	294	6	0.016129	vec	The mechanism for addressing errors utilizes a fail-open approach.  When a non-e 
7	469	0	0.015873	fts	The Tour de France spans roughly 3,500 kilometers across twenty-one challenging  
8	58	6	0.015873	vec	Error handling follows fail-open semantics: if a non-critical operation like emb 
9	458	0	0.015625	fts	In the year 2023, the Rugby World Cup held in France experienced unprecedented v 
10	43	5	0.015625	vec	When debugging cross-tool failures, check spill log first. All tools log to the  
