rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	382	9	0.000000	0.030214	fts+vec	The blog’s visual aesthetic prioritizes a specific typographic style, utilizing  
2	412	10	0.000000	0.030077	fts+vec	The system logs are structured as sentences, not numerical codes. Specifically,  
3	375	9	0.000000	0.027047	fts+vec	The communication style prioritizes clarity and directness. Avoidance of uncerta 
4	210	3	0.000000	0.026389	fts+vec	The process of creating a classification system mandates a predefined format: th 
5	197	3	0.000000	0.016393	vec	The initial request for data extraction directed the process to gather every per 
6	480	0	0.000000	0.016393	fts	The atmospheric circulation patterns in the Southern Hemisphere exhibit a system 
7	456	0	0.000000	0.016129	fts	The protein composition of bread flour is notably greater than all-purpose flour 
8	455	0	0.000000	0.015873	fts	Wheat flour exhibits a greater concentration of protein compared to standard all 
9	384	9	0.000000	0.015873	vec	The blog’s aesthetic is deliberately constructed around a particular typeface –  
10	454	0	0.000000	0.015625	fts	The composition of bread flour exhibits a greater proportion of protein compared 
