rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	473	0	0.000000	0.032266	fts+vec	The Earth’s crust, comprising tectonic plates, undergoes movement at a pace of a 
2	472	0	0.000000	0.032258	fts+vec	The Earth’s crust, composed of tectonic plates, undergoes a slow, gradual shift  
3	426	0	0.000000	0.029469	fts+vec	Rainier Mountain stands as the largest elevation point within the Cascade Range, 
4	424	0	0.000000	0.028624	fts+vec	Rainier Mountain stands as the largest and most noticeable peak within the Casca 
5	425	0	0.000000	0.028595	fts+vec	Here is the rewritten text, maintaining the original meaning and using varied vo   Rainier Mountain stands as the largest elevation point in the Cascade Range, re 
6	117	0	0.000000	0.016393	vec	The Tour de France covers approximately 3,500 kilometers over 21 stages in July. 
7	471	0	0.000000	0.015873	fts	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
8	474	0	0.000000	0.015625	vec	The Earth’s crust, composed of large plates, shifts at a rate of approximately t 
9	470	0	0.000000	0.015625	fts	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
10	469	0	0.000000	0.015385	fts	The Tour de France spans roughly 3,500 kilometers across twenty-one challenging  
11	118	0	0.000000	0.015152	vec	Tectonic plates move at roughly 2-10 centimeters per year. The Pacific Plate mov 
12	465	0	0.000000	0.015152	fts	The Atacama Desert, located in Chile, stands as the world’s least populated dese 
13	464	0	0.000000	0.014925	fts	The Atacama Desert, located in Chile, stands as the most arid region of its kind 
14	463	0	0.000000	0.014706	fts	The Atacama Desert, located in Chile, stands as the most arid region on the plan 
15	462	0	0.000000	0.014493	fts	The atmospheric pressure is fluctuating significantly, exceeding 24 millibars, o 
16	435	0	0.000000	0.014493	vec	Here’s a rewritten version of the text, maintaining the original meaning without  Winter’s intensity in the Pacific Northwest is largely dictated by the positioni 
17	437	0	0.000000	0.014286	fts	The regimen for marathon training generally spans 18 weeks, meticulously structu 
18	102	0	0.000000	0.014286	vec	Mount Rainier is the most prominent peak in the Cascades at 14,411 feet. Its gla 
19	448	0	0.000000	0.014085	vec	The spectacular display of light known as the aurora borealis emerges from the i 
20	433	0	0.000000	0.013889	vec	The location of the jet stream dictates the intensity of winter conditions in th 
