rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	347	8	0.999299	0.026786	fts+vec	Due to an inconsistency in the smoke test results, the analysis revealed that ol 
2	75	8	0.840405	0.015625	vec	End-to-end tests are slow because they call ollama for every embedding and extra 
3	353	8	0.586567	0.025645	fts+vec	The tests are constructed to encompass four distinct types of scenarios: precise 
4	268	5	0.361601	0.014493	vec	During the smoke test evaluation, the results were positive within the immediate 
5	334	8	0.075375	0.016129	vec	During smoke tests, a specific, temporary database is established using a direct 
6	335	8	0.033813	0.015385	vec	During smoke tests, a system utilizes a temporary data store, named CRIB_DB, whi 
7	399	10	0.002544	0.014706	fts	The records generated by the system detail the tool’s name as a distinct element 
8	336	8	0.001587	0.016393	vec	During smoke tests, a temporary data storage mechanism is established using a sp 
9	333	8	0.000027	0.014706	vec	The smoke test procedure for crib installations is a command-line script, distin 
10	332	8	0.000002	0.015152	vec	The smoke test for crib is a command-line utility, distinct from a Ruby-based te 
11	348	8	0.000000	0.026547	fts+vec	Due to an inconsistency in the ollama smoke test results, the output yielded thr 
12	446	0	0.000000	0.016393	fts	Here is the rewritten text, maintaining the original meaning and using varied vo  The duration of cricket test series typically extends to five days, with the out 
13	445	0	0.000000	0.016129	fts	Here's a rewritten version of the text, maintaining the original meaning while u  The duration of cricket test series typically spans five days, and it’s possible 
14	343	8	0.000000	0.015873	vec	The execution of end-to-end tests is protracted due to the repeated requests to  
15	437	0	0.000000	0.015873	fts	The regimen for marathon training generally spans 18 weeks, meticulously structu 
16	414	10	0.000000	0.015625	fts	The logging system employs text-based messages, rather than numerical codes. Spe 
17	413	10	0.000000	0.015385	fts	The messages produced by a logging system are typically structured as sentences, 
18	408	10	0.000000	0.015152	fts	The system's current approach involves examining the spill database after a sign 
19	76	8	0.000000	0.014925	vec	A smoke test flaked because ollama returned different triple extractions on cons 
20	406	10	0.000000	0.014925	fts	The system’s inherent ability to understand past events requires examining the s 
