rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	31	4	0.999999	0.014493	vec	crib uses consolidation-on-write rather than periodic garbage collection. When a 
2	213	4	0.999998	0.016393	vec	The system employing a consolidation-on-write strategy instead of traditional pe 
3	212	4	0.999990	0.015873	vec	The system employing consolidation-on-write data management instead of tradition 
4	211	4	0.994415	0.015385	vec	The system employs a method of updating data rather than repeatedly clearing the 
5	135	1	0.490130	0.016129	vec	The system analyzes records in a specific sequence, beginning with the most rece 
6	134	1	0.000054	0.014925	vec	The system analyzes transcripts by arranging them from newest to oldest, effecti 
7	360	8	0.000003	0.014286	vec	The experimental process emphasizes the ability to repeat each trial independent 
8	474	0	0.000000	0.016393	fts	The Earth’s crust, composed of large plates, shifts at a rate of approximately t 
9	473	0	0.000000	0.016129	fts	The Earth’s crust, comprising tectonic plates, undergoes movement at a pace of a 
10	472	0	0.000000	0.015873	fts	The Earth’s crust, composed of tectonic plates, undergoes a slow, gradual shift  
