rank	entry_id	cluster	rrf_score	channels	content
1	213	4	0.016393	vec	The system employing a consolidation-on-write strategy instead of traditional pe 
2	474	0	0.016393	fts	The Earth’s crust, composed of large plates, shifts at a rate of approximately t 
3	135	1	0.016129	vec	The system analyzes records in a specific sequence, beginning with the most rece 
4	473	0	0.016129	fts	The Earth’s crust, comprising tectonic plates, undergoes movement at a pace of a 
5	212	4	0.015873	vec	The system employing consolidation-on-write data management instead of tradition 
6	472	0	0.015873	fts	The Earth’s crust, composed of tectonic plates, undergoes a slow, gradual shift  
7	133	1	0.015625	vec	The system analyzes transcripts in a specific sequence, beginning with the most  
8	471	0	0.015625	fts	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
9	211	4	0.015385	vec	The system employs a method of updating data rather than repeatedly clearing the 
10	470	0	0.015385	fts	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
