rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	11	2	0.991747	0.015625	vec	nomic-embed-text produces 768-dimensional float vectors. At default ollama setti 
2	158	2	0.628883	0.016129	vec	We opted for nomic-embed-text instead of mxbai-embed-large due to its remarkably 
3	13	2	0.609866	0.015385	vec	Chose nomic-embed-text over mxbai-embed-large because it runs under 100ms per em 
4	157	2	0.080621	0.015873	vec	We opted for nomic-embed-text instead of mxbai-embed-large due to its relatively 
5	161	2	0.000040	0.014925	vec	The embedding API generates a structured output, specifically a JSON document. T 
6	159	2	0.000005	0.016393	vec	We selected nomic-embed-text instead of mxbai-embed-large primarily due to its e 
7	477	0	0.000000	0.016393	fts	The dimensions of a basketball court are 94 feet in length and 50 feet in width. 
8	476	0	0.000000	0.016129	fts	The dimensions of a basketball court are precisely 94 feet in length and 50 feet 
9	475	0	0.000000	0.015873	fts	The dimensions of a basketball court are 94 feet in length and 50 feet in width. 
10	409	10	0.000000	0.015625	fts	The process of updating database data is performed manually. Should the database 
