rank	entry_id	cluster	content
1	474	0	The Earth’s crust, composed of large plates, shifts at a rate of approximately t 
2	473	0	The Earth’s crust, comprising tectonic plates, undergoes movement at a pace of a 
3	472	0	The Earth’s crust, composed of tectonic plates, undergoes a slow, gradual shift  
4	471	0	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
5	470	0	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
6	469	0	The Tour de France spans roughly 3,500 kilometers across twenty-one challenging  
7	465	0	The Atacama Desert, located in Chile, stands as the world’s least populated dese 
8	463	0	The Atacama Desert, located in Chile, stands as the most arid region on the plan 
9	459	0	In 2023, the Rugby World Cup held a significant viewership record, with the cham 
10	458	0	In the year 2023, the Rugby World Cup held in France experienced unprecedented v 
11	457	0	In the year 2023, the Rugby World Cup in France witnessed a significant surge in 
12	453	0	Here’s the rewritten text:  The Lake Baikal in Siberia boasts approximately twenty percent of the total unfr 
13	452	0	Baikal Lake, located in Siberia, represents a significant proportion of the worl 
14	451	0	Baikal Lake, located in Siberia, represents a significant portion of the global  
15	445	0	Here's a rewritten version of the text, maintaining the original meaning while u  The duration of cricket test series typically spans five days, and it’s possible 
16	436	0	The preparation for a marathon involves a structured training schedule lasting 1 
17	435	0	Here’s a rewritten version of the text, maintaining the original meaning without  Winter’s intensity in the Pacific Northwest is largely dictated by the positioni 
18	434	0	The positioning of the jet stream has a significant impact on the severity of wi 
19	433	0	The location of the jet stream dictates the intensity of winter conditions in th 
20	432	0	The sourdough starter needs consistent nourishment: it should be mixed with a ra 
