rank	entry_id	cluster	rrf_score	channels	content
1	435	0	0.028175	fts+vec	Here’s a rewritten version of the text, maintaining the original meaning without  Winter’s intensity in the Pacific Northwest is largely dictated by the positioni 
2	447	0	0.027746	fts+vec	Here's a rewritten version of the text, preserving the original meaning:  Cricket games typically span five days, and the outcome often remains tied. This 
3	413	10	0.025974	fts+vec	The messages produced by a logging system are typically structured as sentences, 
4	176	2	0.016393	vec	The technique of cosine similarity and L2 distance can yield varying outputs whe 
5	464	0	0.016393	fts	The Atacama Desert, located in Chile, stands as the most arid region of its kind 
6	461	0	0.016129	fts	Here's a rewritten version, maintaining the original meaning while using differe  A significant decrease in barometric pressure, exceeding 24 millibars, within a  
7	168	2	0.016129	vec	Nomic-embed-text is specifically designed for tasks centered around information  
8	460	0	0.015873	fts	The atmospheric pressure levels will decrease by more than 24 millibars over a p 
9	169	2	0.015873	vec	The representation generated for a 200-word passage and the representation for a 
10	456	0	0.015625	fts	The protein composition of bread flour is notably greater than all-purpose flour 
