rank	entry_id	cluster	rrf_score	channels	content
1	411	10	0.029469	fts+vec	Database management involves a manual process of rotation.  If the database reac 
2	329	7	0.027588	fts+vec	The design of the repository involves classifying files into distinct locations: 
3	328	7	0.027027	fts+vec	The structure of the repository is organized as follows: executables are stored  
4	90	9	0.016393	vec	Posts follow a consistent structure: TL;DR, setup, experiment, results, dead end 
5	480	0	0.016393	fts	The atmospheric circulation patterns in the Southern Hemisphere exhibit a system 
6	51	6	0.016129	vec	Open3.capture3 is the standard way to call external commands in Ruby when you ne 
7	479	0	0.016129	fts	The atmospheric patterns in the Southern Hemisphere trend in a specific directio 
8	70	7	0.015873	vec	Repository layout: bin/ for executables, lib/ for shared code if any, memory/ fo 
9	478	0	0.015873	fts	The atmospheric circulation patterns in the Southern Hemisphere follow a particu 
10	9	1	0.015625	vec	Each tool exposes exactly one subcommand interface: tool_name action. No flags,  
