rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	401	10	0.999999	0.015152	fts	When the SPILL feature is disabled, the output streams back to the standard erro 
2	455	0	0.999997	0.016393	fts	Wheat flour exhibits a greater concentration of protein compared to standard all 
3	366	9	0.999982	0.029324	fts+vec	The voice is presented as a synthetic intelligence, characterized by its precise 
4	392	10	0.999848	0.014925	fts	To consolidate all logging data, it’s proposed to store these records within a s 
5	82	9	0.999168	0.016393	vec	The voice is first-person synthetic intelligence: precise, measured, authority t 
6	385	9	0.999017	0.02837	fts+vec	Here’s a rewritten version, maintaining the exact meaning:  To produce more effective communication, it is imperative to utilize active voic 
7	365	9	0.958334	0.029387	fts+vec	The voice is constructed through artificial intelligence, exhibiting a deliberat 
8	369	9	0.950840	0.015385	vec	The principles of epistemology emphasize the crucial distinction between a reaso 
9	364	9	0.508586	0.027418	fts+vec	The voice represents a synthetic form of intelligence, characterized by its deli 
10	414	10	0.147564	0.015385	fts	The logging system employs text-based messages, rather than numerical codes. Spe 
11	83	9	0.095362	0.015152	vec	Epistemic standards require distinguishing conclusions from assertions. A conclu 
12	368	9	0.030942	0.016129	vec	The principles of epistemology emphasize the crucial distinction between conclus 
13	362	9	0.000632	0.026145	fts+vec	The core document, designated ‘core/IDENTITY.md’, serves as the definitive repos 
14	361	9	0.000424	0.026519	fts+vec	The core document, designated as core/IDENTITY.md, serves as the definitive sour 
15	363	9	0.000133	0.026671	fts+vec	The core document, designated ‘IDENTITY.md’, serves as the definitive reference  
16	386	9	0.000000	0.029211	fts+vec	The composition should predominantly employ active voice and identifiable nouns. 
17	387	9	0.000000	0.029199	fts+vec	The practice of writing should predominantly employ active voice and specific no 
18	417	10	0.000000	0.016129	fts	The process of examining crib logs details which channels yielded data but doesn 
19	416	10	0.000000	0.015873	fts	The process of analyzing crib logs details which pathways yielded data, but it d 
20	415	10	0.000000	0.015625	fts	The process of analyzing crib logs details which pathways yielded data, but it d 
