rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	347	8	0.999299	0.026786	fts+vec	Due to an inconsistency in the smoke test results, the analysis revealed that ol 
2	75	8	0.840405	0.015625	vec	End-to-end tests are slow because they call ollama for every embedding and extra 
3	353	8	0.586567	0.025645	fts+vec	The tests are constructed to encompass four distinct types of scenarios: precise 
4	268	5	0.361601	0.014493	vec	During the smoke test evaluation, the results were positive within the immediate 
5	334	8	0.075375	0.016129	vec	During smoke tests, a specific, temporary database is established using a direct 
6	335	8	0.033813	0.015385	vec	During smoke tests, a system utilizes a temporary data store, named CRIB_DB, whi 
7	399	10	0.002544	0.014706	fts	The records generated by the system detail the tool’s name as a distinct element 
8	336	8	0.001587	0.016393	vec	During smoke tests, a temporary data storage mechanism is established using a sp 
9	333	8	0.000027	0.014706	vec	The smoke test procedure for crib installations is a command-line script, distin 
10	332	8	0.000002	0.015152	vec	The smoke test for crib is a command-line utility, distinct from a Ruby-based te 
