rank	entry_id	cluster	rrf_score	channels	content
1	420	10	0.028039	fts+vec	The initial process of recording every detail of each content item was extensive 
2	418	10	0.027273	fts+vec	The initial method of recording every detail of a retrieval was implemented by l 
3	414	10	0.026172	fts+vec	The logging system employs text-based messages, rather than numerical codes. Spe 
4	91	10	0.016393	vec	spill logs to a single SQLite database shared across all tools. Each log entry r 
5	463	0	0.016393	fts	The Atacama Desert, located in Chile, stands as the most arid region on the plan 
6	462	0	0.016129	fts	The atmospheric pressure is fluctuating significantly, exceeding 24 millibars, o 
7	393	10	0.016129	vec	To consolidate all log data into a single SQLite database, which is accessible b 
8	460	0	0.015873	fts	The atmospheric pressure levels will decrease by more than 24 millibars over a p 
9	1	1	0.015873	vec	Switched spill from per-tool log files to a single SQLite database. Centralized  
10	458	0	0.015625	fts	In the year 2023, the Rugby World Cup held in France experienced unprecedented v 
