rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	450	0	0.000428	0.015152	fts	Here’s a rewritten version, maintaining the original meaning and using varied vo  Solar particles emitted from the sun encounter the Earth’s magnetic field, resul 
2	175	2	0.000187	0.015152	vec	The techniques of cosine similarity and L2 distance exhibit varying results when 
3	195	3	0.000054	0.014925	vec	Here's a rewritten version of the text, maintaining the exact meaning and avoidi  “When constructing prompt templates, it is imperative to refrain from utilizing  
4	176	2	0.000005	0.016393	vec	The technique of cosine similarity and L2 distance can yield varying outputs whe 
5	435	0	0.000000	0.028175	fts+vec	Here’s a rewritten version of the text, maintaining the original meaning without  Winter’s intensity in the Pacific Northwest is largely dictated by the positioni 
6	447	0	0.000000	0.027746	fts+vec	Here's a rewritten version of the text, preserving the original meaning:  Cricket games typically span five days, and the outcome often remains tied. This 
7	413	10	0.000000	0.025974	fts+vec	The messages produced by a logging system are typically structured as sentences, 
8	464	0	0.000000	0.016393	fts	The Atacama Desert, located in Chile, stands as the most arid region of its kind 
9	461	0	0.000000	0.016129	fts	Here's a rewritten version, maintaining the original meaning while using differe  A significant decrease in barometric pressure, exceeding 24 millibars, within a  
10	168	2	0.000000	0.016129	vec	Nomic-embed-text is specifically designed for tasks centered around information  
11	460	0	0.000000	0.015873	fts	The atmospheric pressure levels will decrease by more than 24 millibars over a p 
12	169	2	0.000000	0.015873	vec	The representation generated for a 200-word passage and the representation for a 
13	456	0	0.000000	0.015625	fts	The protein composition of bread flour is notably greater than all-purpose flour 
14	177	2	0.000000	0.015625	vec	The process of calculating cosine similarity and the L2 distance can result in v 
15	453	0	0.000000	0.015385	fts	Here’s the rewritten text:  The Lake Baikal in Siberia boasts approximately twenty percent of the total unfr 
16	171	2	0.000000	0.015385	vec	The representation generated for a 200-word passage and the representation produ 
17	446	0	0.000000	0.014706	fts	Here is the rewritten text, maintaining the original meaning and using varied vo  The duration of cricket test series typically extends to five days, with the out 
18	167	2	0.000000	0.014706	vec	Nomic-embed-text is specifically designed to facilitate the retrieval of informa 
19	170	2	0.000000	0.014493	vec	The representation of a 200-word passage and the representation of a five-word p 
20	445	0	0.000000	0.014493	fts	Here's a rewritten version of the text, maintaining the original meaning while u  The duration of cricket test series typically spans five days, and it’s possible 
