rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	256	5	0.020625	0.014706	vec	Across all types of software applications, a significant issue frequently arises 
2	95	10	0.003199	0.014493	vec	Spill SQLite writes blocked under high concurrency when multiple tools logged si 
3	46	5	0.001825	0.016393	vec	The most common failure mode across all tools is ollama timing out. Embedding ca 
4	403	10	0.000000	0.028205	fts+vec	SQLite's performance can be impacted when numerous tools are actively accessing  
5	401	10	0.000000	0.027912	fts+vec	When the SPILL feature is disabled, the output streams back to the standard erro 
6	471	0	0.000000	0.016393	fts	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
7	470	0	0.000000	0.016129	fts	The grueling Tour de France spans approximately 3,500 kilometers across twenty-o 
8	294	6	0.000000	0.016129	vec	The mechanism for addressing errors utilizes a fail-open approach.  When a non-e 
9	469	0	0.000000	0.015873	fts	The Tour de France spans roughly 3,500 kilometers across twenty-one challenging  
10	58	6	0.000000	0.015873	vec	Error handling follows fail-open semantics: if a non-critical operation like emb 
11	458	0	0.000000	0.015625	fts	In the year 2023, the Rugby World Cup held in France experienced unprecedented v 
12	43	5	0.000000	0.015625	vec	When debugging cross-tool failures, check spill log first. All tools log to the  
13	293	6	0.000000	0.015385	vec	The method of handling errors explicitly considers a fail-open approach. Should  
14	402	10	0.000000	0.015152	fts	When a SPILL cannot be detected, the output will be redirected to stderr. Every  
15	248	5	0.000000	0.015152	vec	To effectively resolve issues that arise between different software applications 
16	264	5	0.000000	0.014925	vec	The task queue experienced a standstill when two operations attempted to modify  
17	400	10	0.000000	0.014706	fts	When the SPILL feature is disabled, the falling-back mechanism returns to stderr 
18	399	10	0.000000	0.014493	fts	The records generated by the system detail the tool’s name as a distinct element 
19	48	5	0.000000	0.014286	vec	book task queue deadlocked when two tasks tried to update the same row simultane 
20	398	10	0.000000	0.014286	fts	The records generated contain a tool identifier, presented as a defined element  
