rank	entry_id	cluster	score	channels	content
1	999	-1	0.031778	fts+vec	Economic growth is influenced by monetary policy by affecting interest rates and 
2	992	-1	0.031498	fts+vec	The discount rate is the interest rate at which commercial banks can borrow mone 
3	991	-1	0.031281	fts+vec	Quantitative tightening (QT) involves selling assets to reduce the central bank’ 
4	848	-1	0.029116	fts+vec	20.  Grid balancing is a continuous process requiring constant monitoring and ad 
5	956	-1	0.028577	fts+vec	7.  Proportion and balance were carefully considered to achieve harmony and visu 
6	990	-1	0.016393	fts	Inflation is primarily controlled by the Federal Reserve through adjusting the f 
7	833	-1	0.015873	vec	5.  Voltage stability monitoring detects and corrects imbalances before they esc 
8	993	-1	0.015625	fts	Monetary policy often utilizes interest rate cuts to stimulate economic growth. 
9	973	-1	0.015385	vec	The dilemma hinges on weighing potential consequences across different individua 
10	970	-1	0.015152	fts	Latin’s grammatical structure was remarkably flexible, allowing for a wide range 
