rank	entry_id	cluster	score	channels	content
1	949	-1	0.031754	fts+vec	Here are 20 short factual notes about Italian Renaissance painting techniques: 
2	951	-1	0.03101	fts+vec	2.  Sfumato, a technique of blending colors subtly, produced soft, hazy edges ra 
3	867	-1	0.028898	fts+vec	The temperature of the combustion chamber dictates the engine’s operating range. 
4	801	-1	0.027425	fts+vec	Coolant temperature is constantly monitored to prevent overheating and runaway r 
5	865	-1	0.026357	fts+vec	Heat management is a critical aspect of controlling combustion and maximizing po 
6	990	-1	0.016393	fts	Inflation is primarily controlled by the Federal Reserve through adjusting the f 
7	774	-1	0.016393	vec	7.  Soil incineration targets combustible pollutants with high temperatures. 
8	997	-1	0.016129	fts	Fiscal policy, controlled by the government, can influence demand and therefore  
9	791	-1	0.015873	vec	The coolant’s temperature is carefully monitored and adjusted to optimize effici 
10	969	-1	0.015873	fts	20.  Artists like Raphael and Michelangelo developed innovative techniques to ca 
