rank	entry_id	cluster	score	channels	content
1	813	-1	0.030835	fts+vec	6.  Pick-and-place robots precisely place components onto the assembly. 
2	168	-1	0.029214	fts+vec	Mitosis follows a precise series of events to ensure accurate chromosome separat 
3	811	-1	0.028624	fts+vec	4.  Software control systems manage the robots’ movements and coordination. 
4	783	-1	0.027151	fts+vec	16. Microbial consortia can degrade complex organic compounds. 
5	948	-1	0.016393	fts	The Pali Canon, the earliest extant collection of Buddhist texts, provides found 
6	947	-1	0.016129	fts	The Teotihuacan site was remarkably well-preserved, showcasing advanced urban pl 
7	818	-1	0.015873	vec	11.  Tape automation systems streamline the application of adhesives and coating 
8	940	-1	0.015873	fts	The emergence of Indo-European allowed for complex narratives and societal organ 
9	897	-1	0.015625	fts	Village communities were organized around the lord’s estate, fostering a sense o 
10	799	-1	0.015625	vec	Coolant systems are often segmented to improve thermal management and distributi 
