Q01	single	1	20	20	0	0	1	0
Q02	single	2	20	20	5	0	3	5
Q03	single	3	14	20	8	0	6	9
Q04	single	4	20	20	0	0	2	1
Q05	single	5	20	20	0	0	2	1
Q06	single	6	20	20	1	0	1	2
Q07	single	7	19	20	7	0	5	10
Q08	single	8	20	20	0	0	3	3
Q09	single	9	13	20	0	0	6	6
Q10	single	10	20	20	0	0	2	1
Q11	paraphrase	1	20	20	0	0	0	4
Q12	paraphrase	3	20	20	0	0	1	4
Q13	paraphrase	5	20	20	3	0	1	3
Q14	paraphrase	2	20	20	0	0	3	1
Q15	paraphrase	4	20	20	0	0	1	0
Q16	negative	none	20	20	4	0	0	4
Q17	negative	none	20	20	5	0	0	5
Q18	negative	none	20	20	5	0	0	5
Q19	negative	none	11	20	0	0	0	6
Q20	negative	none	19	20	6	0	0	6
