rank	entry_id	cluster	score	channels	content
1	727	-1	0.026389	fts+vec	2.  Regular inspections are vital to identify and address equipment failures pro 
2	998	-1	0.016393	fts	The money supply is managed by the central bank through tools like open market o 
3	66	5	0.016393	vec	type=note The most common failure mode across all tools is ollama timing out. Em 
4	973	-1	0.016129	fts	The dilemma hinges on weighing potential consequences across different individua 
5	63	5	0.016129	vec	type=note When debugging cross-tool failures, check spill log first. All tools l 
6	946	-1	0.015873	fts	The Pacific Island cultures are remarkably diverse, exhibiting a wide range of t 
7	78	6	0.015873	vec	type=decision Error handling follows fail-open semantics: if a non-critical oper 
8	947	-1	0.015625	fts	The Teotihuacan site was remarkably well-preserved, showcasing advanced urban pl 
9	115	10	0.015625	vec	type=error Spill SQLite writes blocked under high concurrency when multiple tool 
10	35	2	0.015385	vec	type=error Embedding calls occasionally return HTTP 500 when ollama model is sti 
