rank	entry_id	cluster	score	channels	content
1	910	-1	0.027418	fts+vec	3.  Symbolism was frequently used to represent complex emotions and hidden meani 
2	969	-1	0.016393	fts	20.  Artists like Raphael and Michelangelo developed innovative techniques to ca 
3	136	-1	0.016393	vec	Quantum computing utilizes quantum phenomena like superposition and entanglement 
4	970	-1	0.016129	fts	Latin’s grammatical structure was remarkably flexible, allowing for a wide range 
5	33	2	0.016129	vec	type=decision Chose nomic-embed-text over mxbai-embed-large because it runs unde 
6	36	2	0.015873	vec	type=note nomic-embed-text is trained for search rather than classification. Its 
7	972	-1	0.015873	fts	A utilitarian argument might suggest pulling the lever to save five lives, even  
8	948	-1	0.015625	fts	The Pali Canon, the earliest extant collection of Buddhist texts, provides found 
9	37	2	0.015625	vec	type=note The embedding for a 200-word paragraph and the embedding for a 5-word  
10	951	-1	0.015385	fts	2.  Sfumato, a technique of blending colors subtly, produced soft, hazy edges ra 
