rank	entry_id	cluster	score	channels	content
1	645	-1	0.032018	fts+vec	4.  Antipsychotics are used to manage psychosis and certain anxiety conditions. 
2	644	-1	0.032002	fts+vec	3.  Antidepressants, particularly SSRIs, are commonly used to treat depression a 
3	648	-1	0.030777	fts+vec	7.  Transcranial magnetic stimulation (TMS) is used to treat depression and obse 
4	646	-1	0.030769	fts+vec	5.  Mood boosters like fluoxetine may be beneficial for seasonal affective disor 
5	643	-1	0.030214	fts+vec	2.  Mood stabilizers like lithium are frequently prescribed to manage bipolar di 
6	369	-1	0.026944	fts+vec	Entropy, a measure of disorder, increases in a closed system, driving spontaneou 
7	948	-1	0.016393	fts	The Pali Canon, the earliest extant collection of Buddhist texts, provides found 
8	572	-1	0.015873	vec	13.  Physical therapy helps patients regain stability and function through exerc 
9	339	-1	0.015152	vec	Neurofeedback techniques train individuals to regulate their own brain activity. 
10	536	-1	0.014925	fts	19.  Patient selection is critical for maximizing the benefits of immunotherapy. 
