rank	entry_id	cluster	score	channels	content
1	729	-1	0.028382	fts+vec	4.  Emergency shutdown systems must be clearly labeled and regularly tested. 
2	708	-1	0.028039	fts+vec	4.  Nozzle design is crucial for accelerating exhaust gases to supersonic speeds 
3	701	-1	0.026357	fts+vec	18.  Material testing is performed to verify compliance with stringent standards 
4	95	8	0.016393	vec	type=note End-to-end tests are slow because they call ollama for every embedding 
5	989	-1	0.016393	fts	Ultimately, the trolley problem tests the limits of utilitarian thought. 
6	96	8	0.016129	vec	type=error A smoke test flaked because ollama returned different triple extracti 
7	846	-1	0.016129	fts	18.  Subtransmission networks are designed to distribute power over longer dista 
8	91	8	0.015873	vec	type=decision The smoke test for crib is a bash script, not a Ruby test framewor 
9	852	-1	0.015873	fts	The combustion chamber’s design significantly affects the efficiency of the engi 
10	70	5	0.015625	vec	type=error The smoke test suite passed locally but failed in CI because ollama w 
