rank	entry_id	cluster	score	channels	content
1	673	-1	0.027072	fts+vec	11.  Utilize a trauma scoring system to quantify the severity of injury. 
2	982	-1	0.016393	fts	Focusing on minimizing harm is a central tenet of utilitarian thought. 
3	111	10	0.016393	vec	type=decision spill logs to a single SQLite database shared across all tools. Ea 
4	21	1	0.016129	vec	type=decision Switched spill from per-tool log files to a single SQLite database 
5	991	-1	0.016129	fts	Quantitative tightening (QT) involves selling assets to reduce the central bank’ 
6	998	-1	0.015873	fts	The money supply is managed by the central bank through tools like open market o 
7	28	1	0.015873	vec	type=decision spill structured its log entries as JSON lines rather than plain t 
8	112	10	0.015625	vec	type=note Spill provides three severity levels: info, warn, error. There is no d 
9	947	-1	0.015625	fts	The Teotihuacan site was remarkably well-preserved, showcasing advanced urban pl 
10	82	7	0.015385	vec	type=decision Commit messages use a tool-name prefix followed by a colon: crib:  
