rank	entry_id	cluster	score	channels	content
1	846	-1	0.029911	fts+vec	18.  Subtransmission networks are designed to distribute power over longer dista 
2	839	-1	0.02895	fts+vec	11. Synchronous generation utilizes generators connected to the grid to maintain 
3	831	-1	0.028898	fts+vec	3.  Power flow optimization employs algorithms to route electricity through the  
4	832	-1	0.026667	fts+vec	4.  Regional load balancing distributes load based on geographic proximity to re 
5	970	-1	0.016393	fts	Latin’s grammatical structure was remarkably flexible, allowing for a wide range 
6	220	-1	0.016393	vec	2.  Collisions between plates often create mountain ranges and rift valleys. 
7	946	-1	0.016129	fts	The Pacific Island cultures are remarkably diverse, exhibiting a wide range of t 
8	947	-1	0.015873	fts	The Teotihuacan site was remarkably well-preserved, showcasing advanced urban pl 
9	17	0	0.015873	vec	type=note The Tour de France covers approximately 3,500 kilometers over 21 stage 
10	935	-1	0.015625	fts	Different dialects arose independently in various regions, leading to regional v 
