rank	entry_id	cluster	score	channels	content
1	842	-1	0.030282	fts+vec	14.  Short-circuit detection systems quickly identify potential problems impacti 
2	847	-1	0.026585	fts+vec	19.  Advanced control systems implement sophisticated algorithms for load balanc 
3	817	-1	0.026145	fts+vec	10.  Robots often utilize vision systems for quality control and identification. 
4	970	-1	0.016393	fts	Latin’s grammatical structure was remarkably flexible, allowing for a wide range 
5	727	-1	0.016129	vec	2.  Regular inspections are vital to identify and address equipment failures pro 
6	946	-1	0.016129	fts	The Pacific Island cultures are remarkably diverse, exhibiting a wide range of t 
7	729	-1	0.015873	vec	4.  Emergency shutdown systems must be clearly labeled and regularly tested. 
8	947	-1	0.015873	fts	The Teotihuacan site was remarkably well-preserved, showcasing advanced urban pl 
9	929	-1	0.015625	fts	The Proto-Indo-European language was a highly inflected language with a complex  
10	66	5	0.015625	vec	type=note The most common failure mode across all tools is ollama timing out. Em 
