rank	entry_id	cluster	score	channels	content
1	427	-1	0.030886	fts+vec	Eruption styles vary greatly depending on magma type. 
2	766	-1	0.030118	fts+vec	20.  Finite element analysis (FEA) is employed to ensure structural integrity un 
3	937	-1	0.029643	fts+vec	Proto-Indo-European had a relatively stable grammatical structure compared to ma 
4	337	-1	0.026686	fts+vec	Functional connectivity analysis reveals how different brain areas interact. 
5	357	-1	0.026389	fts+vec	Advanced polymer architectures, like dendrimers and star polymers, create intric 
6	46	3	0.025816	fts+vec	type=correction The extraction prompt for trick originally said extract all impo 
7	947	-1	0.016393	fts	The Teotihuacan site was remarkably well-preserved, showcasing advanced urban pl 
8	941	-1	0.016129	vec	The linguistic connections between Indo-European languages demonstrate a histori 
9	703	-1	0.015873	vec	20.  Design codes and standards, like AASHTO and CDM standards, guide constructi 
10	785	-1	0.015873	fts	18. Geochemical analysis identifies contaminant types for targeted treatment. 
