rank	entry_id	cluster	score	channels	content
1	684	-1	0.027584	fts+vec	1.  Bridge design prioritizes load distribution across the entire structure to p 
2	51	4	0.016393	vec	type=decision crib uses consolidation-on-write rather than periodic garbage coll 
3	846	-1	0.016393	fts	18.  Subtransmission networks are designed to distribute power over longer dista 
4	82	7	0.016129	vec	type=decision Commit messages use a tool-name prefix followed by a colon: crib:  
5	852	-1	0.016129	fts	The combustion chamber’s design significantly affects the efficiency of the engi 
6	87	7	0.015873	vec	type=note Rebasing is preferred over merge commits for keeping history linear. I 
7	855	-1	0.015873	fts	Heat loss through convection is minimized by careful design, reducing friction. 
8	53	4	0.015625	vec	type=note SQLite WAL mode is enabled by default for crib database. This allows c 
9	790	-1	0.015625	fts	Coolant systems are designed to operate within extremely high temperatures and p 
10	117	10	0.015385	vec	type=note Log rotation is manual: when the database exceeds a size threshold, ar 
