rank	entry_id	cluster	score	channels	content
1	51	4	0.016393	vec	type=decision crib uses consolidation-on-write rather than periodic garbage coll 
2	982	-1	0.016393	fts	Focusing on minimizing harm is a central tenet of utilitarian thought. 
3	833	-1	0.016129	vec	5.  Voltage stability monitoring detects and corrects imbalances before they esc 
4	995	-1	0.016129	fts	Forward guidance focuses on communicating future monetary policy intentions to i 
5	25	1	0.015873	vec	type=note trick processes transcripts in reverse chronological order so recent c 
6	1000	-1	0.015873	fts	Infancy:  Early childhood focuses on developing a secure attachment and foundati 
7	110	9	0.015625	vec	type=decision Posts follow a consistent structure: TL;DR, setup, experiment, res 
8	981	-1	0.015625	fts	Different ethical theories offer varying perspectives on how to respond. 
9	117	10	0.015385	vec	type=note Log rotation is manual: when the database exceeds a size threshold, ar 
10	967	-1	0.015385	fts	18.  Emphasis on classical mythology and history inspired narrative painting. 
