rank	entry_id	cluster	score	channels	content
1	111	10	0.032787	fts+vec	type=decision spill logs to a single SQLite database shared across all tools. Ea 
2	112	10	0.031754	fts+vec	type=note Spill provides three severity levels: info, warn, error. There is no d 
3	115	10	0.03009	fts+vec	type=error Spill SQLite writes blocked under high concurrency when multiple tool 
4	120	10	0.029418	fts+vec	type=correction Originally logged full entry content in spill on every retrieval 
5	82	7	0.029083	fts+vec	type=decision Commit messages use a tool-name prefix followed by a colon: crib:  
6	113	10	0.029031	fts+vec	type=note Log entries include the tool name as a structured field, not embedded  
7	117	10	0.028485	fts+vec	type=note Log rotation is manual: when the database exceeds a size threshold, ar 
8	119	10	0.028219	fts+vec	type=note When crib logs a retrieval, it records which channels returned results 
9	81	7	0.026876	fts+vec	type=decision Each tool repo uses a single main branch with no feature branches. 
10	87	7	0.025833	fts+vec	type=note Rebasing is preferred over merge commits for keeping history linear. I 
