rank	entry_id	cluster	score	channels	content
1	110	9	0.032787	fts+vec	type=decision Posts follow a consistent structure: TL;DR, setup, experiment, res 
2	71	6	0.031514	fts+vec	type=note Open3.capture3 is the standard way to call external commands in Ruby w 
3	90	7	0.031498	fts+vec	type=decision Repository layout: bin/ for executables, lib/ for shared code if a 
4	79	6	0.029437	fts+vec	type=note String interpolation in heredocs works normally. But single-quoted her 
5	91	8	0.016129	fts	type=decision The smoke test for crib is a bash script, not a Ruby test framewor 
6	88	7	0.015873	fts	type=decision CI uses the latest stable Ruby and installs only kramdown as a gem 
7	29	1	0.015625	vec	type=note Each tool exposes exactly one subcommand interface: tool_name action.  
8	24	1	0.015385	vec	type=decision screen runs as a standalone classifier behind a Unix pipe interfac 
9	72	6	0.015152	fts	type=decision All tools use Ruby stdlib only — no gems. This eliminates Bundler, 
10	81	7	0.014925	vec	type=decision Each tool repo uses a single main branch with no feature branches. 
