rank	entry_id	cluster	score	channels	content
1	46	3	0.032787	fts+vec	type=correction The extraction prompt for trick originally said extract all impo 
2	98	8	0.016129	vec	type=decision Test queries are written to cover four categories: high-confidence 
3	79	6	0.015873	vec	type=note String interpolation in heredocs works normally. But single-quoted her 
4	3	0	0.015625	vec	type=note The 2024 Champions League final was held in London at Wembley Stadium. 
5	110	9	0.015385	vec	type=decision Posts follow a consistent structure: TL;DR, setup, experiment, res 
6	39	2	0.015152	vec	type=note Cosine similarity and L2 distance produce different orderings for the  
7	118	10	0.014925	vec	type=decision Log messages are sentences, not codes. stored entry #42 (decision) 
8	109	9	0.014706	vec	type=note Writing should prefer active voice and concrete nouns. The model class 
9	7	0	0.014493	vec	type=note The Danube flows through ten countries, more than any other river in t 
10	43	3	0.014286	vec	type=note Zero-shot classification with gemma3 1b fails on edge cases. The model 
