rank	entry_id	cluster	score	channels	content
1	111	10	0.031099	fts+vec	type=decision spill logs to a single SQLite database shared across all tools. Ea 
2	115	10	0.03101	fts+vec	type=error Spill SQLite writes blocked under high concurrency when multiple tool 
3	114	10	0.028783	fts+vec	type=decision Spill falls back to stderr when not available. Every tool checks f 
4	78	6	0.028531	fts+vec	type=decision Error handling follows fail-open semantics: if a non-critical oper 
5	81	7	0.028175	fts+vec	type=decision Each tool repo uses a single main branch with no feature branches. 
6	66	5	0.016393	vec	type=note The most common failure mode across all tools is ollama timing out. Em 
7	112	10	0.016129	fts	type=note Spill provides three severity levels: info, warn, error. There is no d 
8	63	5	0.016129	vec	type=note When debugging cross-tool failures, check spill log first. All tools l 
9	113	10	0.015873	fts	type=note Log entries include the tool name as a structured field, not embedded  
10	35	2	0.015385	vec	type=error Embedding calls occasionally return HTTP 500 when ollama model is sti 
