rank	entry_id	cluster	score	channels	content
1	94	8	0.031099	fts+vec	type=decision Experiment scripts live in experiment/ within the blog repo, not i 
2	90	7	0.016393	vec	type=decision Repository layout: bin/ for executables, lib/ for shared code if a 
3	97	8	0.016129	fts	type=note The three-channels experiment tests retrieval quality, not performance 
4	29	1	0.016129	vec	type=note Each tool exposes exactly one subcommand interface: tool_name action.  
5	40	2	0.015873	fts	type=correction Previously assumed sqlite-vec defaults to cosine distance. It ac 
6	41	3	0.015873	vec	type=note The gemma3 1b model says yes to anything technology-adjacent when give 
7	81	7	0.015625	vec	type=decision Each tool repo uses a single main branch with no feature branches. 
8	22	1	0.015385	vec	type=decision prophet does not vendor its dependencies. Each tool lives in its o 
9	87	7	0.015152	vec	type=note Rebasing is preferred over merge commits for keeping history linear. I 
10	30	1	0.014925	vec	type=decision The system does not use a message bus. Tools communicate through f 
