Q01	single	1	20	20	2	0	1	8
Q02	single	2	14	20	10	0	6	10
Q03	single	3	11	20	8	2	6	9
Q04	single	4	5	20	0	0	4	2
Q05	single	5	20	20	2	0	2	5
Q06	single	6	12	20	3	0	3	4
Q07	single	7	12	20	7	4	5	9
Q08	single	8	14	12	11	7	7	10
Q09	single	9	6	20	0	9	7	5
Q10	single	10	20	20	3	10	7	10
Q11	paraphrase	1	3	11	1	0	3	1
Q12	paraphrase	3	20	20	6	0	5	8
Q13	paraphrase	5	20	20	5	0	5	8
Q14	paraphrase	2	20	20	9	0	7	10
Q15	paraphrase	4	20	17	2	0	1	5
Q16	negative	none	5	5	0	0	0	1
Q17	negative	none	4	5	1	0	0	1
Q18	negative	none	2	3	0	0	0	0
Q19	negative	none	1	0	0	0	0	0
Q20	negative	none	1	20	0	0	0	1
