rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	31	4	0.999999	0.016129	vec	crib uses consolidation-on-write rather than periodic garbage collection. When a 
2	98	10	0.581071	0.014706	fts	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
3	67	7	0.252290	0.027425	fts+vec	Rebasing is preferred over merge commits for keeping history linear. Interactive 
4	91	10	0.014111	0.014493	vec	spill logs to a single SQLite database shared across all tools. Each log entry r 
5	100	10	0.000280	0.014925	fts	Originally logged full entry content in spill on every retrieval. This bloated t 
6	39	4	0.000008	0.014286	vec	The entries_fts table uses content sync mode so FTS stays in sync with the entri 
7	97	10	0.000001	0.030366	fts+vec	Log rotation is manual: when the database exceeds a size threshold, archive the  
8	90	9	0.000000	0.029514	fts+vec	Posts follow a consistent structure: TL;DR, setup, experiment, results, dead end 
9	5	1	0.000000	0.016393	vec	trick processes transcripts in reverse chronological order so recent context tak 
10	118	0	0.000000	0.016393	fts	Tectonic plates move at roughly 2-10 centimeters per year. The Pacific Plate mov 
11	117	0	0.000000	0.016129	fts	The Tour de France covers approximately 3,500 kilometers over 21 stages in July. 
12	115	0	0.000000	0.015873	fts	The Atacama Desert in Chile is the driest non-polar desert on Earth. Some weathe 
13	113	0	0.000000	0.015625	fts	The 2023 Rugby World Cup in France drew record television audiences for the spor 
14	111	0	0.000000	0.015385	fts	Lake Baikal in Siberia contains roughly 20% of the world unfrozen fresh water. I 
15	73	8	0.000000	0.015385	vec	Testing classifier accuracy requires a labeled dataset. The gemma3 1b tuning exp 
16	102	0	0.000000	0.015152	fts	Mount Rainier is the most prominent peak in the Cascades at 14,411 feet. Its gla 
17	26	3	0.000000	0.015152	vec	The extraction prompt for trick originally said extract all important informatio 
18	80	8	0.000000	0.014706	vec	Experiments are designed to be re-runnable from scratch. The script creates a fr 
19	96	10	0.000000	0.014286	fts	Observability in this system means reading the spill database after the fact. Th 
20	28	3	0.000000	0.014085	vec	Set all classifier prompts to temperature 0.0 despite non-determinism. Higher te 
