rank	entry_id	cluster	rrf_score	channels	content
1	89	9	0.031514	fts+vec	Writing should prefer active voice and concrete nouns. The model classified the  
2	90	9	0.02971	fts+vec	Posts follow a consistent structure: TL;DR, setup, experiment, results, dead end 
3	57	6	0.029514	fts+vec	JSON.generate produces a JSON string from a Ruby object. JSON.pretty_generate ad 
4	25	3	0.028531	fts+vec	Prompt templates should avoid negation. Do not classify X as Y is less reliable  
5	24	3	0.027885	fts+vec	A classifier prompt that worked for Python code detection returned false negativ 
6	27	3	0.027313	fts+vec	Temperature 0.0 does not guarantee deterministic output from gemma3 1b. Across 1 
7	30	3	0.025978	fts+vec	Classifier prompts include a machine-readable output format: respond with exactl 
8	73	8	0.016393	vec	Testing classifier accuracy requires a labeled dataset. The gemma3 1b tuning exp 
9	111	0	0.016393	fts	Lake Baikal in Siberia contains roughly 20% of the world unfrozen fresh water. I 
10	99	10	0.016129	fts	When crib logs a retrieval, it records which channels returned results but not t 
