rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	91	10	0.999388	0.030679	fts+vec	spill logs to a single SQLite database shared across all tools. Each log entry r 
2	1	1	0.994890	0.016129	vec	Switched spill from per-tool log files to a single SQLite database. Centralized  
3	74	8	0.000281	0.013889	fts	Experiment scripts live in experiment/ within the blog repo, not in the tool rep 
4	8	1	0.000024	0.015873	vec	spill structured its log entries as JSON lines rather than plain text. Every ent 
5	100	10	0.000000	0.030835	fts+vec	Originally logged full entry content in spill on every retrieval. This bloated t 
6	92	10	0.000000	0.030118	fts+vec	Spill provides three severity levels: info, warn, error. There is no debug level 
7	95	10	0.000000	0.030077	fts+vec	Spill SQLite writes blocked under high concurrency when multiple tools logged si 
8	93	10	0.000000	0.02879	fts+vec	Log entries include the tool name as a structured field, not embedded in the mes 
9	62	7	0.000000	0.028718	fts+vec	Commit messages use a tool-name prefix followed by a colon: crib: add consolidat 
10	99	10	0.000000	0.028531	fts+vec	When crib logs a retrieval, it records which channels returned results but not t 
