rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	41	5	0.980793	0.014085	vec	crib retrieve crashed with a JSON parse error when ollama returned an HTML error 
2	15	2	0.315132	0.015152	vec	Embedding calls occasionally return HTTP 500 when ollama model is still loading. 
3	95	10	0.003199	0.032018	fts+vec	Spill SQLite writes blocked under high concurrency when multiple tools logged si 
4	46	5	0.001825	0.028893	fts+vec	The most common failure mode across all tools is ollama timing out. Embedding ca 
5	91	10	0.000000	0.03009	fts+vec	spill logs to a single SQLite database shared across all tools. Each log entry r 
6	58	6	0.000000	0.030018	fts+vec	Error handling follows fail-open semantics: if a non-critical operation like emb 
7	94	10	0.000000	0.029643	fts+vec	Spill falls back to stderr when not available. Every tool checks for SPILL_HOME  
8	61	7	0.000000	0.028577	fts+vec	Each tool repo uses a single main branch with no feature branches. Commits go di 
9	48	5	0.000000	0.028205	fts+vec	book task queue deadlocked when two tasks tried to update the same row simultane 
10	78	8	0.000000	0.028139	fts+vec	Test queries are written to cover four categories: high-confidence matches, mixe 
11	54	6	0.000000	0.025992	fts+vec	Ruby frozen_string_literal pragma prevents accidental string mutation. All tool  
12	93	10	0.000000	0.015873	fts	Log entries include the tool name as a structured field, not embedded in the mes 
13	43	5	0.000000	0.015873	vec	When debugging cross-tool failures, check spill log first. All tools log to the  
14	92	10	0.000000	0.015625	fts	Spill provides three severity levels: info, warn, error. There is no debug level 
15	74	8	0.000000	0.014925	fts	Experiment scripts live in experiment/ within the blog repo, not in the tool rep 
16	1	1	0.000000	0.014925	vec	Switched spill from per-tool log files to a single SQLite database. Centralized  
17	71	8	0.000000	0.014706	fts	The smoke test for crib is a bash script, not a Ruby test framework. It exercise 
18	65	7	0.000000	0.014493	fts	Git tags are not used for versioning. Tools are pinned by commit hash when refer 
19	62	7	0.000000	0.014286	fts	Commit messages use a tool-name prefix followed by a colon: crib: add consolidat 
20	45	5	0.000000	0.014286	vec	trick silently dropped memories when the extraction model returned malformed JSO 
