rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	70	7	0.000035	0.014493	vec	Repository layout: bin/ for executables, lib/ for shared code if any, memory/ fo 
2	96	10	0.000000	0.029727	fts+vec	Observability in this system means reading the spill database after the fact. Th 
3	80	8	0.000000	0.029031	fts+vec	Experiments are designed to be re-runnable from scratch. The script creates a fr 
4	31	4	0.000000	0.016393	vec	crib uses consolidation-on-write rather than periodic garbage collection. When a 
5	88	9	0.000000	0.016129	fts	The blog design reflects the voice: monospace font, no images beyond the avatar, 
6	67	7	0.000000	0.016129	vec	Rebasing is preferred over merge commits for keeping history linear. Interactive 
7	62	7	0.000000	0.015873	vec	Commit messages use a tool-name prefix followed by a colon: crib: add consolidat 
8	40	4	0.000000	0.015625	fts	Foreign keys are declared in the schema but not enforced at runtime. SQLite requ 
9	33	4	0.000000	0.015625	vec	SQLite WAL mode is enabled by default for crib database. This allows concurrent  
10	35	4	0.000000	0.015385	fts	The FTS5 tokenizer configuration porter unicode61 handles English morphological  
