rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	88	9	0.944746	0.015873	fts	The blog design reflects the voice: monospace font, no images beyond the avatar, 
2	75	8	0.840405	0.031099	fts+vec	End-to-end tests are slow because they call ollama for every embedding and extra 
3	72	8	0.000385	0.02967	fts+vec	Smoke tests use a temporary database via CRIB_DB pointing to a mktemp directory. 
4	80	8	0.000009	0.015625	fts	Experiments are designed to be re-runnable from scratch. The script creates a fr 
5	76	8	0.000000	0.031054	fts+vec	A smoke test flaked because ollama returned different triple extractions on cons 
6	78	8	0.000000	0.030536	fts+vec	Test queries are written to cover four categories: high-confidence matches, mixe 
7	71	8	0.000000	0.029958	fts+vec	The smoke test for crib is a bash script, not a Ruby test framework. It exercise 
8	50	5	0.000000	0.029324	fts+vec	The smoke test suite passed locally but failed in CI because ollama was not inst 
9	109	0	0.000000	0.016393	fts	Cricket test matches can last five days and still end in a draw. The format rewa 
10	96	10	0.000000	0.016129	fts	Observability in this system means reading the spill database after the fact. Th 
