rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	26	3	0.000000	0.032522	fts+vec	The extraction prompt for trick originally said extract all important informatio 
2	78	8	0.000000	0.016393	vec	Test queries are written to cover four categories: high-confidence matches, mixe 
3	59	6	0.000000	0.015873	vec	String interpolation in heredocs works normally. But single-quoted heredocs disa 
4	98	10	0.000000	0.015625	vec	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
5	25	3	0.000000	0.015385	vec	Prompt templates should avoid negation. Do not classify X as Y is less reliable  
6	35	4	0.000000	0.015152	vec	The FTS5 tokenizer configuration porter unicode61 handles English morphological  
7	23	3	0.000000	0.014925	vec	Zero-shot classification with gemma3 1b fails on edge cases. The model needs at  
8	103	0	0.000000	0.014706	vec	The 2024 Champions League final was held in London at Wembley Stadium. The atmos 
9	38	4	0.000000	0.014493	vec	Entries table uses AUTOINCREMENT for the primary key despite the performance cos 
10	83	9	0.000000	0.014286	vec	Epistemic standards require distinguishing conclusions from assertions. A conclu 
