rank	entry_id	cluster	content
1	105	0	The jet stream position determines winter severity in the Pacific Northwest. A n 
2	100	10	Originally logged full entry content in spill on every retrieval. This bloated t 
3	99	10	When crib logs a retrieval, it records which channels returned results but not t 
4	98	10	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
5	97	10	Log rotation is manual: when the database exceeds a size threshold, archive the  
6	95	10	Spill SQLite writes blocked under high concurrency when multiple tools logged si 
7	94	10	Spill falls back to stderr when not available. Every tool checks for SPILL_HOME  
8	93	10	Log entries include the tool name as a structured field, not embedded in the mes 
9	92	10	Spill provides three severity levels: info, warn, error. There is no debug level 
10	91	10	spill logs to a single SQLite database shared across all tools. Each log entry r 
11	87	9	Antecedent basis rule: never reference internal module names or jargon in descri 
12	74	8	Experiment scripts live in experiment/ within the blog repo, not in the tool rep 
13	67	7	Rebasing is preferred over merge commits for keeping history linear. Interactive 
14	65	7	Git tags are not used for versioning. Tools are pinned by commit hash when refer 
15	62	7	Commit messages use a tool-name prefix followed by a colon: crib: add consolidat 
16	61	7	Each tool repo uses a single main branch with no feature branches. Commits go di 
17	58	6	Error handling follows fail-open semantics: if a non-critical operation like emb 
18	57	6	JSON.generate produces a JSON string from a Ruby object. JSON.pretty_generate ad 
19	54	6	Ruby frozen_string_literal pragma prevents accidental string mutation. All tool  
20	52	6	All tools use Ruby stdlib only — no gems. This eliminates Bundler, gemspec files 
