rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	70	7	0.999989	0.013158	vec	Repository layout: bin/ for executables, lib/ for shared code if any, memory/ fo 
2	67	7	0.999949	0.031778	fts+vec	Rebasing is preferred over merge commits for keeping history linear. Interactive 
3	98	10	0.486712	0.031319	fts+vec	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
4	91	10	0.055850	0.015625	fts	spill logs to a single SQLite database shared across all tools. Each log entry r 
5	69	7	0.005473	0.014085	vec	Force-pushing to main is acceptable because there is one developer. The rebase w 
6	93	10	0.000350	0.016129	fts	Log entries include the tool name as a structured field, not embedded in the mes 
7	61	7	0.000331	0.029877	fts+vec	Each tool repo uses a single main branch with no feature branches. Commits go di 
8	62	7	0.000013	0.029412	fts+vec	Commit messages use a tool-name prefix followed by a colon: crib: add consolidat 
9	92	10	0.000003	0.030366	fts+vec	Spill provides three severity levels: info, warn, error. There is no debug level 
10	64	7	0.000002	0.031054	fts+vec	No pre-commit hooks. The test suite runs in CI only. Local commits are fast and  
