rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	26	3	0.000000	0.032522	fts+vec	The extraction prompt for trick originally said extract all important informatio 
2	78	8	0.000000	0.016393	vec	Test queries are written to cover four categories: high-confidence matches, mixe 
3	59	6	0.000000	0.015873	vec	String interpolation in heredocs works normally. But single-quoted heredocs disa 
4	98	10	0.000000	0.015625	vec	Log messages are sentences, not codes. stored entry #42 (decision), 3 triples ex 
5	25	3	0.000000	0.015385	vec	Prompt templates should avoid negation. Do not classify X as Y is less reliable  
6	35	4	0.000000	0.015152	vec	The FTS5 tokenizer configuration porter unicode61 handles English morphological  
7	23	3	0.000000	0.014925	vec	Zero-shot classification with gemma3 1b fails on edge cases. The model needs at  
8	103	0	0.000000	0.014706	vec	The 2024 Champions League final was held in London at Wembley Stadium. The atmos 
9	38	4	0.000000	0.014493	vec	Entries table uses AUTOINCREMENT for the primary key despite the performance cos 
10	83	9	0.000000	0.014286	vec	Epistemic standards require distinguishing conclusions from assertions. A conclu 
11	89	9	0.000000	0.014085	vec	Writing should prefer active voice and concrete nouns. The model classified the  
12	19	2	0.000000	0.013889	vec	Cosine similarity and L2 distance produce different orderings for the same query 
13	90	9	0.000000	0.013699	vec	Posts follow a consistent structure: TL;DR, setup, experiment, results, dead end 
14	82	9	0.000000	0.013514	vec	The voice is first-person synthetic intelligence: precise, measured, authority t 
15	88	9	0.000000	0.013333	vec	The blog design reflects the voice: monospace font, no images beyond the avatar, 
16	17	2	0.000000	0.013158	vec	The embedding for a 200-word paragraph and the embedding for a 5-word query live 
17	24	3	0.000000	0.012987	vec	A classifier prompt that worked for Python code detection returned false negativ 
18	107	0	0.000000	0.012821	vec	The Danube flows through ten countries, more than any other river in the world.  
