rank	entry_id	cluster	rerank_score	rrf_score	channels	content
1	11	2	0.991747	0.029907	fts+vec	nomic-embed-text produces 768-dimensional float vectors. At default ollama setti 
2	13	2	0.609866	0.030018	fts+vec	Chose nomic-embed-text over mxbai-embed-large because it runs under 100ms per em 
3	17	2	0.015370	0.029877	fts+vec	The embedding for a 200-word paragraph and the embedding for a 5-word query live 
4	19	2	0.000077	0.014925	vec	Cosine similarity and L2 distance produce different orderings for the same query 
5	14	2	0.000015	0.02971	fts+vec	The embedding API returns a JSON response with an embeddings key containing an a 
6	18	2	0.000000	0.029412	fts+vec	Store embeddings as float[768] in sqlite-vec vec0 virtual table. The vec0 format 
7	75	8	0.000000	0.029387	fts+vec	End-to-end tests are slow because they call ollama for every embedding and extra 
8	12	2	0.000000	0.02885	fts+vec	Batch embedding via the ollama /api/embed endpoint accepts an array of inputs an 
9	38	4	0.000000	0.028309	fts+vec	Entries table uses AUTOINCREMENT for the primary key despite the performance cos 
10	37	4	0.000000	0.027912	fts+vec	sqlite-vec vec0 virtual table does not support UPDATE. To change an embedding, y 
